Optimal Degree	Optimal Hyperparameter
20	2.1544346900318865e-06
Degree	MSE	R2 Score	Hyperparameter
1	5.243044327728161e-08	0.8767303099166417	5.99484250318941e-08
2	2.3580003662693327e-08	0.951515217600833	0.0004641588833612782
3	1.236575034707345e-08	0.9769567562737368	2.1544346900318865e-06
4	1.1478423178490633e-08	0.9797399753435481	0.0004641588833612782
5	1.0674629933319412e-08	0.9785780300297195	7.742636826811278e-05
6	9.78175303111311e-09	0.9832454607525823	1e-08
7	9.697564545415806e-09	0.9846584592398933	1.2915496650148827e-05
8	1.026611101507245e-08	0.9813128108231645	2.1544346900318865e-06
9	1.0330602855424402e-08	0.9820782735155972	1.2915496650148827e-05
10	1.0198858916272078e-08	0.9791955441983486	3.5938136638046254e-07
11	9.88360036093299e-09	0.9814444901325589	3.5938136638046254e-07
12	9.199906082936198e-09	0.9858448319114655	0.1
13	9.817089151807921e-09	0.9806572840727523	0.016681005372000592
14	9.046525505117201e-09	0.9820276255292077	5.99484250318941e-08
15	9.873518452933703e-09	0.9824607590528595	7.742636826811278e-05
16	8.837444534770062e-09	0.9854663281322071	0.0027825594022071257
17	9.536461444186451e-09	0.982834537547627	0.1
18	9.178280752640523e-09	0.9817746003240988	1.2915496650148827e-05
19	8.531104263171696e-09	0.9845979152600962	5.99484250318941e-08
20	8.50887527573901e-09	0.9838707047456449	2.1544346900318865e-06
