Optimal Degree	Optimal Hyperparameter
3	0.07196856730011514
Degree	MSE	R2 Score	Hyperparameter
1	4.8420041340858336e-08	0.8907296418053203	0.026826957952797218
2	1.9746891594824265e-08	0.9617807552134129	5.179474679231202e-05
3	1.3415221059324723e-08	0.9746805630020954	0.07196856730011514
4	3.3341691576172605e-07	0.24489068646044043	0.026826957952797218
5	1.1656082281166122e-06	-1.236726437446352	1.9306977288832497e-07
6	3.129552090263654e-06	-5.596328724262144	5.1794746792312124e-08
7	5.996272338460372e-07	-0.16324954790375523	2.682695795279727e-08
8	1.66297154673683e-05	-32.45578225157157	0.019306977288832496
9	1.929602940577068e-05	-39.6998272332794	7.196856730011514e-07
10	0.00010719458562005221	-209.32314907801776	2.6826957952797275e-07
11	4.6854482061120096e-05	-115.06063705935021	0.0002682695795279722
12	9.000995012395168e-05	-221.0561559026026	5.179474679231213e-07
13	0.0003270458200740875	-777.0955611235086	0.07196856730011514
14	0.00025094950508121555	-795.7601173677762	5.179474679231202e-05
15	0.0003541713080896257	-656.3953414978704	0.03727593720314938
16	0.0020564286905735696	-3839.3285239302013	1e-05
17	0.0009915080143368725	-2579.4962628188537	0.1
18	0.004419672126211306	-7973.442988767172	0.026826957952797218
19	0.001947176530967837	-4646.989978411808	1.3894954943731388e-08
20	0.0003065533484665254	-670.125615852191	1e-08
